p1,p2,alphaD_true,alphaD_main_pred,rel_abs
1.100000023841857910e+00,3.000000000000000000e+00,1.495245374313799935e+01,1.494201850891113281e+01,6.978944329893341757e-04
1.228999972343444824e+00,3.000000000000000000e+00,1.522645842580499931e+01,1.523535537719726562e+01,5.843086516552156457e-04
1.356999993324279785e+00,3.000000000000000000e+00,1.552826149261300159e+01,1.553449440002441406e+01,4.013911933655641947e-04
1.485999941825866699e+00,3.000000000000000000e+00,1.586544756894900132e+01,1.586010265350341797e+01,3.368903034317250671e-04
1.613999962806701660e+00,3.000000000000000000e+00,1.620324352860300010e+01,1.620199394226074219e+01,7.711951869710924898e-05
1.743000030517578125e+00,3.000000000000000000e+00,1.655833159247499964e+01,1.656457710266113281e+01,3.771823357476106436e-04
1.871000051498413086e+00,3.000000000000000000e+00,1.690844910685599700e+01,1.694083213806152344e+01,1.915198194753168787e-03
2.000000000000000000e+00,3.000000000000000000e+00,1.726758829369699910e+01,1.733503532409667969e+01,3.905990185340476716e-03
2.000000029802322388e-01,3.250000000000000000e+00,1.526214623064999998e+01,1.523615264892578125e+01,1.703140654753881661e-03
3.289999961853027344e-01,3.250000000000000000e+00,1.468558167721399954e+01,1.466644573211669922e+01,1.303043047112765118e-03
4.569999873638153076e-01,3.250000000000000000e+00,1.433745584981899945e+01,1.433680248260498047e+01,4.557065220376830644e-05
5.860000252723693848e-01,3.250000000000000000e+00,1.415896194270500175e+01,1.417022132873535156e+01,7.952126770247370559e-04
7.139999866485595703e-01,3.250000000000000000e+00,1.412177177247999893e+01,1.413036155700683594e+01,6.082653554546512591e-04
8.429999947547912598e-01,3.250000000000000000e+00,1.417820915428600159e+01,1.417791080474853516e+01,2.104282241994195871e-05
9.710000157356262207e-01,3.250000000000000000e+00,1.431456318838599984e+01,1.431987857818603516e+01,3.713274188029653611e-04
1.100000023841857910e+00,3.250000000000000000e+00,1.451004621695600072e+01,1.449759864807128906e+01,8.578586655475848970e-04
1.228999972343444824e+00,3.250000000000000000e+00,1.476410380758900054e+01,1.476777076721191406e+01,2.483699431203297372e-04
1.356999993324279785e+00,3.250000000000000000e+00,1.505242089083299994e+01,1.506097984313964844e+01,5.686096853603753078e-04
1.485999941825866699e+00,3.250000000000000000e+00,1.538068662601400050e+01,1.537481975555419922e+01,3.814439889750040227e-04
1.613999962806701660e+00,3.250000000000000000e+00,1.571413042797800053e+01,1.571101284027099609e+01,1.983939054911856631e-04
1.743000030517578125e+00,3.250000000000000000e+00,1.606793886172599883e+01,1.607191848754882812e+01,2.476749418252270477e-04
1.871000051498413086e+00,3.250000000000000000e+00,1.641966060322700116e+01,1.644992828369140625e+01,1.843380395966071278e-03
2.000000000000000000e+00,3.250000000000000000e+00,1.678236281889800097e+01,1.684904289245605469e+01,3.973223215205890987e-03
2.000000029802322388e-01,3.500000000000000000e+00,1.553239491934500016e+01,1.566581344604492188e+01,8.589694467126512967e-03
3.289999961853027344e-01,3.500000000000000000e+00,1.476904241352299962e+01,1.477700138092041016e+01,5.388952901999287132e-04
4.569999873638153076e-01,3.500000000000000000e+00,1.427408001786800007e+01,1.426471805572509766e+01,6.558714909250404563e-04
5.860000252723693848e-01,3.500000000000000000e+00,1.397835067768400208e+01,1.398271942138671875e+01,3.125364217461816291e-04
7.139999866485595703e-01,3.500000000000000000e+00,1.385787535776599988e+01,1.386368560791015625e+01,4.192742389546956277e-04
8.429999947547912598e-01,3.500000000000000000e+00,1.385577741490699921e+01,1.386010932922363281e+01,3.126431803078063730e-04
9.710000157356262207e-01,3.500000000000000000e+00,1.395402762990899959e+01,1.395144557952880859e+01,1.850397927159494298e-04
1.100000023841857910e+00,3.500000000000000000e+00,1.412287350311299861e+01,1.413812446594238281e+01,1.079876756385487243e-03
1.228999972343444824e+00,3.500000000000000000e+00,1.435418459952200010e+01,1.434437370300292969e+01,6.834868571633889549e-04
1.356999993324279785e+00,3.500000000000000000e+00,1.462676632706499902e+01,1.462656116485595703e+01,1.402649119117736468e-05
1.485999941825866699e+00,3.500000000000000000e+00,1.492299761156500004e+01,1.492742347717285156e+01,2.965801994380519121e-04
1.613999962806701660e+00,3.500000000000000000e+00,1.526072567081100040e+01,1.525550746917724609e+01,3.419366645018128825e-04
1.743000030517578125e+00,3.500000000000000000e+00,1.560577638926699962e+01,1.561291408538818359e+01,4.573752656159412334e-04
1.871000051498413086e+00,3.500000000000000000e+00,1.596305505999200136e+01,1.599098110198974609e+01,1.749417131795492561e-03
2.000000000000000000e+00,3.500000000000000000e+00,1.632174927423400135e+01,1.639317131042480469e+01,4.375881223929367105e-03
2.000000029802322388e-01,3.750000000000000000e+00,1.599557028684399995e+01,1.638759994506835938e+01,2.450863902906888492e-02
3.289999961853027344e-01,3.750000000000000000e+00,1.496874272317100107e+01,1.503377342224121094e+01,4.344432947567800768e-03
4.569999873638153076e-01,3.750000000000000000e+00,1.429545602401699966e+01,1.429418182373046875e+01,8.913323816954145027e-05
5.860000252723693848e-01,3.750000000000000000e+00,1.387140711669099957e+01,1.387488555908203125e+01,2.507634850429978838e-04
7.139999866485595703e-01,3.750000000000000000e+00,1.365935648911299971e+01,1.366659355163574219e+01,5.298245586101129473e-04
8.429999947547912598e-01,3.750000000000000000e+00,1.358998459369400003e+01,1.360292434692382812e+01,9.521536349520498847e-04
9.710000157356262207e-01,3.750000000000000000e+00,1.362993466507600004e+01,1.361923217773437500e+01,7.852192695426517396e-04
1.100000023841857910e+00,3.750000000000000000e+00,1.376273756167600126e+01,1.377177906036376953e+01,6.569549587972533557e-04
1.228999972343444824e+00,3.750000000000000000e+00,1.397260759118499962e+01,1.398237705230712891e+01,6.991866806803203466e-04
1.356999993324279785e+00,3.750000000000000000e+00,1.422669571175499925e+01,1.422502994537353516e+01,1.170873697739759507e-04
1.485999941825866699e+00,3.750000000000000000e+00,1.451048470197500073e+01,1.451618194580078125e+01,3.926294636460403139e-04
1.613999962806701660e+00,3.750000000000000000e+00,1.483974732761700110e+01,1.483381843566894531e+01,3.995278232953489400e-04
1.743000030517578125e+00,3.750000000000000000e+00,1.518026211074699994e+01,1.518598270416259766e+01,3.768441792284847949e-04
1.871000051498413086e+00,3.750000000000000000e+00,1.553575483964099924e+01,1.556278038024902344e+01,1.739570486724332675e-03
2.000000000000000000e+00,3.750000000000000000e+00,1.589516248919099972e+01,1.596648788452148438e+01,4.487239144550250747e-03
2.000000029802322388e-01,4.000000000000000000e+00,1.672014246564300066e+01,1.769844627380371094e+01,5.851049476228777774e-02
3.289999961853027344e-01,4.000000000000000000e+00,1.530777113864800043e+01,1.546976661682128906e+01,1.058256467947144008e-02
4.569999873638153076e-01,4.000000000000000000e+00,1.442078987259900025e+01,1.442500591278076172e+01,2.923584782115427340e-04
5.860000252723693848e-01,4.000000000000000000e+00,1.384685639840299842e+01,1.383968257904052734e+01,5.180828887124486887e-04
7.139999866485595703e-01,4.000000000000000000e+00,1.352183607802599852e+01,1.352638339996337891e+01,3.362947096193636526e-04
8.429999947547912598e-01,4.000000000000000000e+00,1.336992516204299974e+01,1.338927459716796875e+01,1.447235858873895456e-03
9.710000157356262207e-01,4.000000000000000000e+00,1.335432139270499974e+01,1.337623691558837891e+01,1.641080983369986408e-03
1.100000023841857910e+00,4.000000000000000000e+00,1.344649445993499981e+01,1.344424533843994141e+01,1.672645239813140160e-04
1.228999972343444824e+00,4.000000000000000000e+00,1.362674187811400017e+01,1.362993335723876953e+01,2.342070579538322467e-04
1.356999993324279785e+00,4.000000000000000000e+00,1.385986349773000015e+01,1.386237525939941406e+01,1.812255704989660483e-04
1.485999941825866699e+00,4.000000000000000000e+00,1.413914781092399942e+01,1.413638687133789062e+01,1.952691649475274828e-04
1.613999962806701660e+00,4.000000000000000000e+00,1.444835969916099927e+01,1.444451808929443359e+01,2.658855362514787077e-04
1.743000030517578125e+00,4.000000000000000000e+00,1.478285743919200002e+01,1.479035949707031250e+01,5.074836112822942932e-04
1.871000051498413086e+00,4.000000000000000000e+00,1.513523904815600041e+01,1.516523170471191406e+01,1.981644059964008872e-03
2.000000000000000000e+00,4.000000000000000000e+00,1.548853565934399867e+01,1.556972408294677734e+01,5.241839860684242500e-03
2.000000029802322388e-01,4.250000000000000000e+00,1.779275251697400151e+01,2.178792572021484375e+01,2.245393566526320550e-01
3.289999961853027344e-01,4.250000000000000000e+00,1.584434046900699933e+01,1.617795753479003906e+01,2.105591371478198609e-02
