grid_index,q_bohr_inv,theta_deg,theta_rad,qx_bohr_inv,qy_bohr_inv,qz_bohr_inv,state,excitation_energy_eV,amp_cos,amp_sin,strength
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,42,28.48692674002121,-1.3983832529180028e-14,2.6017387730401894e-10,6.769044662695428e-20
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,43,28.53881613874187,-8.46374476765189e-13,-0.0012631186847626725,1.5954688117965835e-06
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,44,28.538816138886954,2.606049172302782e-14,-0.0010877517187625394,1.1832038016708586e-06
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,45,29.479812918090055,0.0002624092874811094,-7.436084946869723e-12,6.885863415634357e-08
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,46,29.577235615176054,-2.1424302289717689e-13,-4.680663064925525e-09,2.1908606773258085e-17
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,47,30.134609682809216,-5.473934601768884e-15,0.008641128904580964,7.46691087455846e-05
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,48,30.42285909291524,-1.9050751013425996e-13,-2.0283351451148472e-09,4.11414349720118e-18
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,49,30.57781776649785,9.411916922478449e-12,-1.2852652085154445e-11,2.537748457776611e-22
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,50,30.57781776670913,-1.4986395056445203e-10,1.1130522058243668e-11,2.2583092200073572e-20
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,51,31.301447737714017,1.2760806563233674e-05,-3.0286534203659064e-12,1.6283818414427678e-10
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,52,31.30144773792052,0.00010706738807990739,-2.7752576661592086e-12,1.1463425590253503e-08
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,53,31.79394974414423,-1.390104375697691e-14,0.006775714133396062,4.591030201750315e-05
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,54,32.54435131783464,6.216946178989329e-10,2.8634711047985527e-11,3.8732414460130177e-19
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,55,33.239787173533706,-3.322218393530903e-06,-1.0364326423205634e-10,1.103713506505698e-11
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,56,33.84801129744537,-1.600193437104229e-09,-1.3228991198518831e-10,2.5781196569644945e-18
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,57,33.87453766276373,-2.15213734117346e-12,3.410229484664018e-09,1.162966976976695e-17
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,58,33.87453766290842,1.5762207530914726e-10,-5.717907853025738e-10,3.5178942078169653e-19
1,0.05,22.5,0.39269908169872414,0.01913417161825449,0.0,0.04619397662556434,59,34.047525019046134,-0.00020239853975287364,2.01765655422292e-11,4.096516889409598e-08
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,1,10.601089661427809,-1.5451795599171001e-13,-8.77367648126471e-11,7.697763775588475e-21
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,2,12.52937925367041,1.6366504708153822e-11,-5.567056457204544e-13,2.6817239753799825e-22
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,3,12.742641025626208,-3.695266173479887e-13,0.03453473323188843,0.001192647799397699
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,4,13.130725291782012,-3.495737221449857e-13,-2.9068541419309157e-10,8.449813222639642e-20
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,5,13.130725291783854,-3.141387006669833e-12,4.086537168606396e-10,1.6700772861634145e-19
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,6,13.134244278463646,-0.0011802667417967426,-3.0519231645239546e-12,1.3930295817914988e-06
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,7,13.987379164703443,-6.078609195387722e-13,-0.018656326975657507,0.000348058536222646
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,8,13.987379164704198,4.690044676094989e-12,-0.028636436039394943,0.0008200454690383576
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,9,14.627113026715655,2.27709105154274e-13,-1.0693178443476697e-10,1.1434458373840041e-20
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,10,15.474927381001192,1.7027810981229705e-13,-0.02232223470109218,0.0004982821620506439
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,11,16.694032611807582,-9.980750789822348e-11,-3.2166132072858555e-12,9.971885233379227e-21
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,12,16.966418124622876,-0.0008096627343785374,-1.8254371371972134e-11,6.555537434413304e-07
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,13,17.036546647825844,6.519436635475569e-12,-1.4460091117971805e-12,4.4593996395381474e-23
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,14,17.03654664784861,6.180702503676275e-11,-9.33290339564618e-13,3.820979374752942e-21
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,15,17.05320327059592,0.00040520072092080654,-1.1114993237665954e-12,1.6418762423474134e-07
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,16,17.053203270617626,0.00132446747812125,-6.631987290944007e-13,1.754214100600864e-06
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,17,17.76622138238341,-5.26358929711082e-12,-8.531650496021367e-13,2.84332628905222e-23
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,18,18.825760908026602,-4.742345226036798e-13,-5.06926564231206e-10,2.569747664216374e-19
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,19,18.923821923349376,0.0008812660831797065,3.2480542088406157e-12,7.766299093629014e-07
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,20,20.3060660028183,-2.2118344209700487e-13,0.01781232024943093,0.0003172787526682872
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,21,23.757108846036733,-6.320746910588667e-12,-3.382477250345989e-13,4.0066253031207255e-23
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,22,23.75710884604802,1.5658345569893297e-11,-4.356018381819451e-11,2.142673400261092e-21
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,23,23.84422923633635,-0.00011414982062819479,-4.6023938296138466e-12,1.3030181549449065e-08
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,24,23.844229236379192,0.0007844446249255616,6.110601753527352e-11,6.153533695746087e-07
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,25,24.180005762923916,4.0286459157719473e-13,5.727319726878835e-10,3.2802207483883373e-19
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,26,24.18000576292419,3.8032438744826693e-13,2.5991450281941174e-10,6.755569342250169e-20
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,27,25.328884414515628,-1.3897203406179332e-13,1.0829889592571515e-10,1.1728670171955133e-20
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,28,25.91832376952536,-5.00539856590083e-13,0.008151614556925656,6.644881988468227e-05
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,29,26.291932671007505,-0.00042291391944862945,-7.0483356973224945e-12,1.788561832634019e-07
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,30,26.43209942982244,0.0010254483469221143,4.3204342478657985e-12,1.0515443122052969e-06
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,31,26.432099429879074,-0.00019234124561904012,-4.3417665689650114e-12,3.699515476628394e-08
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,32,26.518243522671032,1.8953812366990507e-12,-5.397985972908729e-12,3.273072259615022e-23
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,33,26.518243522730998,4.078147895831685e-11,6.7232849536516325e-12,1.7083315865956385e-21
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,34,26.54608589484942,-1.2102736840005962e-12,0.0178015096700237,0.0003168937465319473
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,35,26.546085894850595,1.4144124233978101e-13,0.014898478945157802,0.00022196467487931035
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,36,26.692547387677717,1.9483606345884362e-11,3.0227847045630224e-12,3.8874814361152555e-22
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,37,28.28123647832734,1.525431082265679e-13,9.852598022147254e-11,9.707392048001866e-21
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,38,28.281236478348614,-1.613360904659917e-13,2.3239349723873494e-11,5.400934049225859e-22
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,39,28.291774942128974,2.515537644419438e-14,-3.627828862784382e-05,1.3161142257651423e-09
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,40,28.29177494215093,2.182334670644788e-14,-3.015876027540725e-06,9.095508213494823e-12
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,41,28.48692673989627,-8.49868556842714e-13,2.0240594160052123e-09,4.0968172417959245e-18
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,42,28.48692674002121,-7.086690999432753e-14,4.797678801709089e-10,2.3017722386580653e-19
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,43,28.53881613874187,-4.261727259093986e-13,-0.002302571977825623,5.301837713067802e-06
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,44,28.538816138886954,6.832740925258984e-14,-0.001982890983283946,3.931856651588775e-06
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,45,29.479812918090055,4.0427089140308834e-05,-1.3757645199603401e-11,1.6343495363586656e-09
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,46,29.577235615176054,-2.8388269551173854e-13,-3.5825023058930186e-09,1.283432285231818e-17
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,47,30.134609682809216,1.215699201049222e-13,0.006604005034004561,4.3612882489157585e-05
2,0.05,45.0,0.7853981633974483,0.035355339059327376,0.0,0.03535533905932738,48,30.42285909291524,-2.450604673997592e-13,-1.5434783017289884e-09,2.3823253279628348e-18
