model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,fit region,33,0.429,0.143,0.0008580829999118578,0.8580829999118578,0.05590186550310873,0.05590186550310873,0.05397504201359028,0.0007393742567245546
EM1,8,0.9,fit region,34,0.571,0.143,0.0008856250005919719,0.8856250005919719,0.056663629212314014,0.056663629212314014,0.06262095852613216,0.002548999306371049
EM1,8,0.9,fit region,35,0.714,0.143,0.0009030829987750622,0.9030829987750622,0.0591524563458984,0.0591524563458984,0.06963626981626135,0.006196019948492801
EM1,8,0.9,fit region,36,0.857,0.143,0.0010052090001408942,1.0052090001408942,0.06211619404527655,0.06211619404527655,0.07509448952882204,0.009612327279241042
EM1,8,0.9,fit region,37,1.0,0.143,0.0008814579996396787,0.8814579996396787,0.06529335516331128,0.06529335516331128,0.07921670595332791,0.011732229215810817
EM1,8,0.9,fit region,38,1.143,0.143,0.0009135000000242144,0.9135000000242144,0.06800347435739915,0.06800347435739915,0.08197219846186092,0.011213233009243644
EM1,8,0.9,fit region,39,1.286,0.143,0.0008588750006310875,0.8588750006310875,0.06955115024924041,0.06955115024924041,0.08269758808339789,0.007175449043119669
EM1,8,0.9,fit region,40,1.429,0.143,0.0008789589992375113,0.8789589992375113,0.07034126921964438,0.07034126921964438,0.07986459115975086,0.0003670080485565884
EM1,8,0.9,fit region,41,1.571,0.143,0.0008845830016070977,0.8845830016070977,0.06981349644898903,0.06981349644898903,0.07722133930764619,0.005757287159286052
EM1,8,0.9,fit region,42,1.714,0.143,0.0008889170003385516,0.8889170003385516,0.06611705669020555,0.06611705669020555,0.08133038150832354,0.004921590391976647
EM1,8,0.9,test/extrapolation region,43,1.857,0.143,0.0008545000000594882,0.8545000000594882,0.07436969756300582,0.07436969756300582,0.08383281009114545,0.012015730289943835
EM1,8,0.9,test/extrapolation region,44,2.0,0.143,0.0008351249998668209,0.8351249998668209,0.13047309542322044,0.13047309542322044,0.1789462492817403,0.057276023579892255
EM1,8,0.9,test/extrapolation region,45,0.0,0.214,0.0008519580005668104,0.8519580005668104,0.06568090333268149,0.06568090333268149,0.054139025246733155,0.004500968956609457
EM1,8,0.9,test/extrapolation region,46,0.143,0.214,0.0008387499983655289,0.8387499983655289,0.05709829760274176,0.05709829760274176,0.048446416687571416,0.004303851100656466
EM1,8,0.9,fit region,47,0.286,0.214,0.0010084580007969635,1.0084580007969635,0.051741541227609496,0.051741541227609496,0.04422138606583257,0.0038962862469994245
EM1,8,0.9,fit region,48,0.429,0.214,0.000880666999364621,0.880666999364621,0.04977036546451747,0.04977036546451747,0.046301982901956154,0.0028478578661472317
EM1,8,0.9,fit region,49,0.571,0.214,0.0008980830007203622,0.8980830007203622,0.05066061096867989,0.05066061096867989,0.047710722287158065,0.0009402673437840938
EM1,8,0.9,fit region,50,0.714,0.214,0.0008574170005886117,0.8574170005886117,0.053220022138904144,0.053220022138904144,0.04883604530993406,0.0017390341046996888
EM1,8,0.9,fit region,51,0.857,0.214,0.0008841669987305067,0.8841669987305067,0.055767604518426654,0.055767604518426654,0.05532430358416906,0.00455372693909271
EM1,8,0.9,fit region,52,1.0,0.214,0.0008512080003129086,0.8512080003129086,0.0576275870448004,0.0576275870448004,0.06019317219252839,0.006339786833785659
EM1,8,0.9,fit region,53,1.143,0.214,0.0008979169997473946,0.8979169997473946,0.05835732026881216,0.05835732026881216,0.06076075294575661,0.0057241876303885855
EM1,8,0.9,fit region,54,1.286,0.214,0.0008951660001912387,0.8951660001912387,0.057015128349773056,0.057015128349773056,0.056759047422722406,0.0019762048269390733
EM1,8,0.9,fit region,55,1.429,0.214,0.0008506249996571569,0.8506249996571569,0.05487253984385191,0.05487253984385191,0.05459768565272878,0.0038238837766770093
EM1,8,0.9,fit region,56,1.571,0.214,0.0009972920015570708,0.9972920015570708,0.052282634098380125,0.052282634098380125,0.05347262985402583,0.007914342968713815
EM1,8,0.9,fit region,57,1.714,0.214,0.0008843750001688022,0.8843750001688022,0.05309992277178521,0.05309992277178521,0.048993857803905055,0.003885916212032836
EM1,8,0.9,test/extrapolation region,58,1.857,0.214,0.0009512500000710133,0.9512500000710133,0.07289948011141927,0.07289948011141927,0.07803116161399384,0.01728897657070901
EM1,8,0.9,test/extrapolation region,59,2.0,0.214,0.000858457999129314,0.858457999129314,0.14255356887835652,0.14255356887835652,0.19756404331346392,0.06776075485916311
EM1,8,0.9,test/extrapolation region,60,0.0,0.286,0.0009783330006030155,0.9783330006030155,0.06619876271154763,0.06619876271154763,0.05829528958996198,0.0003120594391064892
EM1,8,0.9,test/extrapolation region,61,0.143,0.286,0.000878834000104689,0.878834000104689,0.05696948017729317,0.05696948017729317,0.05156460996496052,0.0017573037850622012
EM1,8,0.9,fit region,62,0.286,0.286,0.0009152919992629904,0.9152919992629904,0.05134139157223892,0.05134139157223892,0.04746687973887604,0.003308065696680659
EM1,8,0.9,fit region,63,0.429,0.286,0.0008564999989175703,0.8564999989175703,0.04914681901538122,0.04914681901538122,0.04515751593996579,0.003804059914805973
EM1,8,0.9,fit region,64,0.571,0.286,0.0008863330003805459,0.8863330003805459,0.04952266461279881,0.04952266461279881,0.046882519926156746,0.0029698890202251023
EM1,8,0.9,fit region,65,0.714,0.286,0.0008561249997001141,0.8561249997001141,0.051207968328031,0.051207968328031,0.05033349358295584,0.00093869079040884
EM1,8,0.9,fit region,66,0.857,0.286,0.000873040999067598,0.873040999067598,0.0526984790269574,0.0526984790269574,0.05408904354496411,0.001550290946516332
